tables,rows,max_id,create_indexes,duration
2,1000000,10,f,00:00:00.092243
2,1000000,10,f,00:00:00.093111
2,1000000,10,f,00:00:00.091543
2,1000000,10,f,00:00:00.091437
2,1000000,10,f,00:00:00.092788
2,1000000,10,f,00:00:00.093871
2,1000000,10,f,00:00:00.09183
2,1000000,10,f,00:00:00.091511
2,1000000,10,f,00:00:00.091522
2,1000000,10,f,00:00:00.094715
3,1000000,10,f,00:00:00.186708
3,1000000,10,f,00:00:00.183588
3,1000000,10,f,00:00:00.183943
3,1000000,10,f,00:00:00.183917
3,1000000,10,f,00:00:00.183615
3,1000000,10,f,00:00:00.18391
3,1000000,10,f,00:00:00.183837
3,1000000,10,f,00:00:00.183696
3,1000000,10,f,00:00:00.184065
3,1000000,10,f,00:00:00.183766
4,1000000,10,f,00:00:00.278191
4,1000000,10,f,00:00:00.275924
4,1000000,10,f,00:00:00.276405
4,1000000,10,f,00:00:00.276359
4,1000000,10,f,00:00:00.276297
4,1000000,10,f,00:00:00.276005
4,1000000,10,f,00:00:00.275965
4,1000000,10,f,00:00:00.277491
4,1000000,10,f,00:00:00.276109
4,1000000,10,f,00:00:00.279364
5,1000000,10,f,00:00:00.368837
5,1000000,10,f,00:00:00.431112
5,1000000,10,f,00:00:00.368032
5,1000000,10,f,00:00:00.369741
5,1000000,10,f,00:00:00.367897
5,1000000,10,f,00:00:00.368014
5,1000000,10,f,00:00:00.367934
5,1000000,10,f,00:00:00.368441
5,1000000,10,f,00:00:00.369822
5,1000000,10,f,00:00:00.368075
6,1000000,10,f,00:00:00.460888
6,1000000,10,f,00:00:00.459985
6,1000000,10,f,00:00:00.483343
6,1000000,10,f,00:00:00.487593
6,1000000,10,f,00:00:00.460149
6,1000000,10,f,00:00:00.460062
6,1000000,10,f,00:00:00.460138
6,1000000,10,f,00:00:00.462511
6,1000000,10,f,00:00:00.460131
6,1000000,10,f,00:00:00.460299
7,1000000,10,f,00:00:00.552323
7,1000000,10,f,00:00:00.553629
7,1000000,10,f,00:00:00.555622
7,1000000,10,f,00:00:00.554901
7,1000000,10,f,00:00:00.55598
7,1000000,10,f,00:00:00.553238
7,1000000,10,f,00:00:00.55116
7,1000000,10,f,00:00:00.551746
7,1000000,10,f,00:00:00.553476
7,1000000,10,f,00:00:00.551782
8,1000000,10,f,00:00:00.644116
8,1000000,10,f,00:00:00.64824
8,1000000,10,f,00:00:00.652776
8,1000000,10,f,00:00:00.646514
8,1000000,10,f,00:00:00.646596
8,1000000,10,f,00:00:00.649491
8,1000000,10,f,00:00:00.6461
8,1000000,10,f,00:00:00.646319
8,1000000,10,f,00:00:00.647922
8,1000000,10,f,00:00:00.67114
9,1000000,10,f,00:00:00.73948
9,1000000,10,f,00:00:00.772504
9,1000000,10,f,00:00:00.738599
9,1000000,10,f,00:00:00.741194
9,1000000,10,f,00:00:00.738735
9,1000000,10,f,00:00:00.738497
9,1000000,10,f,00:00:00.801807
9,1000000,10,f,00:00:00.738622
9,1000000,10,f,00:00:00.738352
9,1000000,10,f,00:00:00.73979
10,1000000,10,f,00:00:00.831181
10,1000000,10,f,00:00:00.892104
10,1000000,10,f,00:00:00.836406
10,1000000,10,f,00:00:00.831159
10,1000000,10,f,00:00:00.832333
10,1000000,10,f,00:00:00.82975
10,1000000,10,f,00:00:00.832957
10,1000000,10,f,00:00:00.831238
10,1000000,10,f,00:00:00.880041
10,1000000,10,f,00:00:00.831326
11,1000000,10,f,00:00:00.923085
11,1000000,10,f,00:00:00.985253
11,1000000,10,f,00:00:00.924252
11,1000000,10,f,00:00:00.928697
11,1000000,10,f,00:00:00.92404
11,1000000,10,f,00:00:00.928438
11,1000000,10,f,00:00:00.922256
11,1000000,10,f,00:00:00.92505
11,1000000,10,f,00:00:00.923529
11,1000000,10,f,00:00:00.930122
12,1000000,10,f,00:00:01.026259
12,1000000,10,f,00:00:01.019228
12,1000000,10,f,00:00:01.016972
12,1000000,10,f,00:00:01.017388
12,1000000,10,f,00:00:01.040857
12,1000000,10,f,00:00:01.050987
12,1000000,10,f,00:00:01.017736
12,1000000,10,f,00:00:01.01785
12,1000000,10,f,00:00:01.016606
12,1000000,10,f,00:00:01.025144
13,1000000,10,f,00:00:01.137094
13,1000000,10,f,00:00:01.11117
13,1000000,10,f,00:00:01.109652
13,1000000,10,f,00:00:01.147951
13,1000000,10,f,00:00:01.136234
13,1000000,10,f,00:00:01.108575
13,1000000,10,f,00:00:01.109807
13,1000000,10,f,00:00:01.108898
13,1000000,10,f,00:00:01.157418
13,1000000,10,f,00:00:01.109834
14,1000000,10,f,00:00:01.225473
14,1000000,10,f,00:00:01.204486
14,1000000,10,f,00:00:01.212054
14,1000000,10,f,00:00:01.20718
14,1000000,10,f,00:00:01.200526
14,1000000,10,f,00:00:01.204736
14,1000000,10,f,00:00:01.208125
14,1000000,10,f,00:00:01.203411
14,1000000,10,f,00:00:01.205246
14,1000000,10,f,00:00:01.203608
15,1000000,10,f,00:00:01.337063
15,1000000,10,f,00:00:01.335185
15,1000000,10,f,00:00:01.300374
15,1000000,10,f,00:00:01.299471
15,1000000,10,f,00:00:01.32159
15,1000000,10,f,00:00:01.29559
15,1000000,10,f,00:00:01.297998
15,1000000,10,f,00:00:01.375782
15,1000000,10,f,00:00:01.300774
15,1000000,10,f,00:00:01.296223
16,1000000,10,f,00:00:01.40587
16,1000000,10,f,00:00:01.409997
16,1000000,10,f,00:00:01.417866
16,1000000,10,f,00:00:01.448613
16,1000000,10,f,00:00:01.388973
16,1000000,10,f,00:00:01.394156
16,1000000,10,f,00:00:01.39117
16,1000000,10,f,00:00:01.388506
