tables,rows,max_id,create_indexes,duration
2,100000,10,t,00:00:00.000842
2,100000,10,t,00:00:00.000244
2,100000,10,t,00:00:00.000219
2,100000,10,t,00:00:00.000214
2,100000,10,t,00:00:00.00021
2,100000,10,t,00:00:00.000209
2,100000,10,t,00:00:00.000183
2,100000,10,t,00:00:00.000178
2,100000,10,t,00:00:00.00018
2,100000,10,t,00:00:00.000173
3,100000,10,t,00:00:00.000526
3,100000,10,t,00:00:00.000381
3,100000,10,t,00:00:00.000332
3,100000,10,t,00:00:00.000324
3,100000,10,t,00:00:00.000323
3,100000,10,t,00:00:00.000322
3,100000,10,t,00:00:00.000321
3,100000,10,t,00:00:00.000322
3,100000,10,t,00:00:00.000321
3,100000,10,t,00:00:00.000318
4,100000,10,t,00:00:00.000684
4,100000,10,t,00:00:00.000519
4,100000,10,t,00:00:00.00064
4,100000,10,t,00:00:00.000487
4,100000,10,t,00:00:00.00048
4,100000,10,t,00:00:00.000479
4,100000,10,t,00:00:00.000478
4,100000,10,t,00:00:00.000478
4,100000,10,t,00:00:00.000478
4,100000,10,t,00:00:00.000519
5,100000,10,t,00:00:00.00086
5,100000,10,t,00:00:00.000662
5,100000,10,t,00:00:00.000655
5,100000,10,t,00:00:00.000652
5,100000,10,t,00:00:00.000649
5,100000,10,t,00:00:00.00069
5,100000,10,t,00:00:00.000652
5,100000,10,t,00:00:00.000651
5,100000,10,t,00:00:00.000651
5,100000,10,t,00:00:00.000649
6,100000,10,t,00:00:00.001127
6,100000,10,t,00:00:00.000855
6,100000,10,t,00:00:00.000844
6,100000,10,t,00:00:00.000844
6,100000,10,t,00:00:00.000847
6,100000,10,t,00:00:00.000863
6,100000,10,t,00:00:00.001022
6,100000,10,t,00:00:00.000852
6,100000,10,t,00:00:00.000845
6,100000,10,t,00:00:00.000951
7,100000,10,t,00:00:00.001343
7,100000,10,t,00:00:00.001174
7,100000,10,t,00:00:00.001105
7,100000,10,t,00:00:00.001081
7,100000,10,t,00:00:00.001067
7,100000,10,t,00:00:00.001069
7,100000,10,t,00:00:00.001111
7,100000,10,t,00:00:00.001071
7,100000,10,t,00:00:00.001065
7,100000,10,t,00:00:00.00107
8,100000,10,t,00:00:00.001591
8,100000,10,t,00:00:00.00137
8,100000,10,t,00:00:00.001414
8,100000,10,t,00:00:00.001334
8,100000,10,t,00:00:00.001328
8,100000,10,t,00:00:00.001349
8,100000,10,t,00:00:00.001329
8,100000,10,t,00:00:00.001679
8,100000,10,t,00:00:00.001356
8,100000,10,t,00:00:00.001386
9,100000,10,t,00:00:00.001678
9,100000,10,t,00:00:00.001466
9,100000,10,t,00:00:00.001439
9,100000,10,t,00:00:00.001462
9,100000,10,t,00:00:00.001438
9,100000,10,t,00:00:00.001435
9,100000,10,t,00:00:00.001461
9,100000,10,t,00:00:00.001441
9,100000,10,t,00:00:00.001435
9,100000,10,t,00:00:00.001456
10,100000,10,t,00:00:00.001855
10,100000,10,t,00:00:00.00173
10,100000,10,t,00:00:00.00166
